dataset,method,epsilon,public_frac,dict_per_class,seed,val_acc,wb_auc,bb_auc,dp_type,status,error
Cora,Gaussian SGC,1.0,0.2,128,0,0.2375,0.5,0.5,"(ε,δ)-DP",ok,
Cora,Edge RR,1.0,0.2,128,0,0.3024,0.5361,0.6052,ε-DP,ok,
Cora,GAP-EDP,1.0,0.2,128,0,0.7551,0.8869,0.8609,"(ε,δ)-DP",ok,
Cora,Public GCN,1.0,0.2,128,0,0.7365,0.7636,0.7719,none,ok,
Cora,MM-EdgeDP,1.0,0.2,128,0,0.7143,0.7216,0.7425,ε-DP,ok,
Cora,Gaussian SGC,1.0,0.2,128,1,0.2375,0.5,0.5,"(ε,δ)-DP",ok,
Cora,Edge RR,1.0,0.2,128,1,0.3024,0.5002,0.6562,ε-DP,ok,
Cora,GAP-EDP,1.0,0.2,128,1,0.7217,0.879,0.8474,"(ε,δ)-DP",ok,
Cora,Public GCN,1.0,0.2,128,1,0.7087,0.7829,0.7391,none,ok,
Cora,MM-EdgeDP,1.0,0.2,128,1,0.7087,0.7062,0.6832,ε-DP,ok,
Cora,Gaussian SGC,1.0,0.2,128,2,0.2301,0.5,0.5,"(ε,δ)-DP",ok,
Cora,Edge RR,1.0,0.2,128,2,0.3024,0.4938,0.6663,ε-DP,ok,
Cora,GAP-EDP,1.0,0.2,128,2,0.7124,0.8787,0.8712,"(ε,δ)-DP",ok,
Cora,Public GCN,1.0,0.2,128,2,0.6772,0.7958,0.7685,none,ok,
Cora,MM-EdgeDP,1.0,0.2,128,2,0.7013,0.7324,0.7217,ε-DP,ok,
AmazonPhoto,Gaussian SGC,1.0,0.2,128,0,0.26,0.5,0.5,"(ε,δ)-DP",ok,
AmazonPhoto,Edge RR,1.0,0.2,128,0,0.2541,0.5957,0.5715,ε-DP,ok,
AmazonPhoto,GAP-EDP,1.0,0.2,128,0,0.9037,0.8667,0.854,"(ε,δ)-DP",ok,
AmazonPhoto,Public GCN,1.0,0.2,128,0,0.8998,0.8487,0.8031,none,ok,
AmazonPhoto,MM-EdgeDP,1.0,0.2,128,0,0.8991,0.7805,0.7688,ε-DP,ok,
AmazonPhoto,Gaussian SGC,1.0,0.2,128,1,0.2521,0.5,0.5,"(ε,δ)-DP",ok,
AmazonPhoto,Edge RR,1.0,0.2,128,1,0.2541,0.5779,0.6479,ε-DP,ok,
AmazonPhoto,GAP-EDP,1.0,0.2,128,1,0.9096,0.9027,0.9026,"(ε,δ)-DP",ok,
AmazonPhoto,Public GCN,1.0,0.2,128,1,0.8913,0.8531,0.8361,none,ok,
AmazonPhoto,MM-EdgeDP,1.0,0.2,128,1,0.8782,0.8075,0.8067,ε-DP,ok,
AmazonPhoto,Gaussian SGC,1.0,0.2,128,2,0.2462,0.5,0.5,"(ε,δ)-DP",ok,
AmazonPhoto,Edge RR,1.0,0.2,128,2,0.2541,0.6108,0.5975,ε-DP,ok,
AmazonPhoto,GAP-EDP,1.0,0.2,128,2,0.9096,0.8838,0.8872,"(ε,δ)-DP",ok,
AmazonPhoto,Public GCN,1.0,0.2,128,2,0.8965,0.8547,0.8212,none,ok,
AmazonPhoto,MM-EdgeDP,1.0,0.2,128,2,0.8906,0.7959,0.8114,ε-DP,ok,
Actor,Gaussian SGC,1.0,0.2,128,0,0.2337,0.5,0.5,"(ε,δ)-DP",ok,
Actor,Edge RR,1.0,0.2,128,0,0.2587,0.5175,0.4965,ε-DP,ok,
Actor,GAP-EDP,1.0,0.2,128,0,0.3226,0.5077,0.5103,"(ε,δ)-DP",ok,
Actor,Public GCN,1.0,0.2,128,0,0.3153,0.5526,0.5394,none,ok,
Actor,MM-EdgeDP,1.0,0.2,128,0,0.26,0.4951,0.4962,ε-DP,ok,
Actor,Gaussian SGC,1.0,0.2,128,1,0.2265,0.5,0.5,"(ε,δ)-DP",ok,
Actor,Edge RR,1.0,0.2,128,1,0.2587,0.4977,0.4955,ε-DP,ok,
Actor,GAP-EDP,1.0,0.2,128,1,0.37,0.5236,0.5144,"(ε,δ)-DP",ok,
Actor,Public GCN,1.0,0.2,128,1,0.3022,0.5335,0.5474,none,ok,
Actor,MM-EdgeDP,1.0,0.2,128,1,0.2587,0.5,0.5,ε-DP,ok,
Actor,Gaussian SGC,1.0,0.2,128,2,0.2488,0.5,0.5,"(ε,δ)-DP",ok,
Actor,Edge RR,1.0,0.2,128,2,0.2587,0.4945,0.4934,ε-DP,ok,
Actor,GAP-EDP,1.0,0.2,128,2,0.3377,0.4552,0.5213,"(ε,δ)-DP",ok,
Actor,Public GCN,1.0,0.2,128,2,0.3147,0.5214,0.4987,none,ok,
Actor,MM-EdgeDP,1.0,0.2,128,2,0.2627,0.5017,0.5095,ε-DP,ok,
