dataset,epsilon,public_frac,dict_per_class,seed,val_acc,majority_acc,dict_size,n_train,n_val,n_public,mean_entropy,mean_top_prob,unique_proto_ratio,status,error
Cora,1.0,0.02,4,0,0.5009,0.3024,28,2118,539,51,1.3863,0.25,1.0,ok,
Cora,1.0,0.02,4,1,0.5622,0.3024,28,2118,539,51,1.3863,0.2503,1.0,ok,
Cora,1.0,0.02,4,2,0.4991,0.3024,28,2118,539,51,1.3863,0.25,1.0,ok,
Cora,1.0,0.02,16,0,0.5083,0.3024,112,2118,539,51,2.7726,0.0625,1.0,ok,
Cora,1.0,0.02,16,1,0.5121,0.3024,112,2118,539,51,2.7726,0.0626,1.0,ok,
Cora,1.0,0.02,16,2,0.4824,0.3024,112,2118,539,51,2.7726,0.0625,1.0,ok,
Cora,1.0,0.02,64,0,0.5028,0.3024,448,2118,539,51,4.1589,0.0156,0.9732,ok,
Cora,1.0,0.02,64,1,0.5343,0.3024,448,2118,539,51,4.1589,0.0156,0.9799,ok,
Cora,1.0,0.02,64,2,0.4991,0.3024,448,2118,539,51,4.1589,0.0156,0.9621,ok,
Cora,1.0,0.02,128,0,0.5083,0.3024,896,2118,539,51,4.852,0.0078,0.8393,ok,
Cora,1.0,0.02,128,1,0.5399,0.3024,896,2118,539,51,4.852,0.0078,0.8549,ok,
Cora,1.0,0.02,128,2,0.4898,0.3024,896,2118,539,51,4.852,0.0078,0.846,ok,
Cora,1.0,0.05,4,0,0.5696,0.3024,28,2038,539,131,1.3863,0.2505,1.0,ok,
Cora,1.0,0.05,4,1,0.5436,0.3024,28,2038,539,131,1.3863,0.2503,1.0,ok,
Cora,1.0,0.05,4,2,0.5473,0.3024,28,2038,539,131,1.3863,0.2503,1.0,ok,
Cora,1.0,0.05,16,0,0.5714,0.3024,112,2038,539,131,2.7726,0.0627,1.0,ok,
Cora,1.0,0.05,16,1,0.5696,0.3024,112,2038,539,131,2.7726,0.0626,1.0,ok,
Cora,1.0,0.05,16,2,0.5714,0.3024,112,2038,539,131,2.7726,0.0626,1.0,ok,
Cora,1.0,0.05,64,0,0.5714,0.3024,448,2038,539,131,4.1589,0.0157,0.9688,ok,
Cora,1.0,0.05,64,1,0.5696,0.3024,448,2038,539,131,4.1589,0.0157,0.9754,ok,
Cora,1.0,0.05,64,2,0.5807,0.3024,448,2038,539,131,4.1589,0.0157,0.9643,ok,
Cora,1.0,0.05,128,0,0.5844,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,1.0,0.05,128,1,0.5603,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,1.0,0.05,128,2,0.5881,0.3024,896,2038,539,131,4.852,0.0078,0.8382,ok,
Cora,1.0,0.2,4,0,0.7124,0.3024,28,1630,539,539,1.3863,0.2502,1.0,ok,
Cora,1.0,0.2,4,1,0.6976,0.3024,28,1630,539,539,1.3863,0.2502,1.0,ok,
Cora,1.0,0.2,4,2,0.6772,0.3024,28,1630,539,539,1.3863,0.2503,1.0,ok,
Cora,1.0,0.2,16,0,0.7106,0.3024,112,1630,539,539,2.7726,0.0626,1.0,ok,
Cora,1.0,0.2,16,1,0.6846,0.3024,112,1630,539,539,2.7726,0.0626,1.0,ok,
Cora,1.0,0.2,16,2,0.666,0.3024,112,1630,539,539,2.7726,0.0626,1.0,ok,
Cora,1.0,0.2,64,0,0.7217,0.3024,448,1630,539,539,4.1589,0.0157,0.9263,ok,
Cora,1.0,0.2,64,1,0.7032,0.3024,448,1630,539,539,4.1589,0.0157,0.9375,ok,
Cora,1.0,0.2,64,2,0.6846,0.3024,448,1630,539,539,4.1589,0.0157,0.933,ok,
Cora,1.0,0.2,128,0,0.705,0.3024,896,1630,539,539,4.852,0.0078,0.7712,ok,
Cora,1.0,0.2,128,1,0.705,0.3024,896,1630,539,539,4.852,0.0078,0.7835,ok,
Cora,1.0,0.2,128,2,0.7069,0.3024,896,1630,539,539,4.852,0.0078,0.7578,ok,
