dataset,epsilon,public_frac,dict_per_class,seed,val_acc,majority_acc,dict_size,n_train,n_val,n_public,mean_entropy,mean_top_prob,unique_proto_ratio,status,error
Cora,0.1,0.2,128,0,0.7069,0.3024,896,1630,539,539,4.852,0.0078,0.7712,ok,
Cora,0.1,0.2,128,1,0.7069,0.3024,896,1630,539,539,4.852,0.0078,0.7824,ok,
Cora,0.1,0.2,128,2,0.6976,0.3024,896,1630,539,539,4.852,0.0078,0.7578,ok,
Cora,0.5,0.2,128,0,0.705,0.3024,896,1630,539,539,4.852,0.0078,0.7712,ok,
Cora,0.5,0.2,128,1,0.7013,0.3024,896,1630,539,539,4.852,0.0078,0.7824,ok,
Cora,0.5,0.2,128,2,0.6994,0.3024,896,1630,539,539,4.852,0.0078,0.7578,ok,
Cora,1.0,0.2,128,0,0.7087,0.3024,896,1630,539,539,4.852,0.0078,0.7712,ok,
Cora,1.0,0.2,128,1,0.705,0.3024,896,1630,539,539,4.852,0.0078,0.7835,ok,
Cora,1.0,0.2,128,2,0.7032,0.3024,896,1630,539,539,4.852,0.0078,0.7578,ok,
Cora,2.0,0.2,128,0,0.7032,0.3024,896,1630,539,539,4.852,0.0079,0.7701,ok,
Cora,2.0,0.2,128,1,0.7032,0.3024,896,1630,539,539,4.852,0.0079,0.7835,ok,
Cora,2.0,0.2,128,2,0.705,0.3024,896,1630,539,539,4.852,0.0079,0.7578,ok,
Cora,5.0,0.2,128,0,0.7106,0.3024,896,1630,539,539,4.8519,0.0079,0.7701,ok,
Cora,5.0,0.2,128,1,0.7087,0.3024,896,1630,539,539,4.852,0.0079,0.7835,ok,
Cora,5.0,0.2,128,2,0.7161,0.3024,896,1630,539,539,4.852,0.0079,0.7578,ok,
Cora,10.0,0.2,128,0,0.705,0.3024,896,1630,539,539,4.8517,0.0081,0.7701,ok,
Cora,10.0,0.2,128,1,0.7032,0.3024,896,1630,539,539,4.8517,0.0081,0.7835,ok,
Cora,10.0,0.2,128,2,0.7013,0.3024,896,1630,539,539,4.8517,0.0081,0.7567,ok,
