dataset,epsilon,public_frac,dict_per_class,seed,val_acc,majority_acc,dict_size,n_train,n_val,n_public,mean_entropy,mean_top_prob,unique_proto_ratio,status,error
Cora,1.0,0.02,4,0,0.5065,0.3024,28,2118,539,51,1.3863,0.25,1.0,ok,
Cora,1.0,0.02,4,1,0.5529,0.3024,28,2118,539,51,1.3853,0.26,1.0,ok,
Cora,1.0,0.02,4,2,0.4954,0.3024,28,2118,539,51,1.3863,0.25,1.0,ok,
Cora,1.0,0.02,16,0,0.5009,0.3024,112,2118,539,51,2.7726,0.0625,1.0,ok,
Cora,1.0,0.02,16,1,0.5529,0.3024,112,2118,539,51,2.7717,0.0653,1.0,ok,
Cora,1.0,0.02,16,2,0.4842,0.3024,112,2118,539,51,2.7726,0.0625,1.0,ok,
Cora,1.0,0.02,64,0,0.5046,0.3024,448,2118,539,51,4.1589,0.0156,0.9732,ok,
Cora,1.0,0.02,64,1,0.5492,0.3024,448,2118,539,51,4.1581,0.0164,0.9799,ok,
Cora,1.0,0.02,64,2,0.4917,0.3024,448,2118,539,51,4.1589,0.0156,0.9621,ok,
Cora,1.0,0.02,128,0,0.5065,0.3024,896,2118,539,51,4.852,0.0078,0.8393,ok,
Cora,1.0,0.02,128,1,0.551,0.3024,896,2118,539,51,4.8512,0.0082,0.8538,ok,
Cora,1.0,0.02,128,2,0.4917,0.3024,896,2118,539,51,4.852,0.0078,0.846,ok,
Cora,1.0,0.05,4,0,0.5659,0.3024,28,2038,539,131,1.3845,0.2651,1.0,ok,
Cora,1.0,0.05,4,1,0.5417,0.3024,28,2038,539,131,1.3849,0.2598,1.0,ok,
Cora,1.0,0.05,4,2,0.5492,0.3024,28,2038,539,131,1.3847,0.2592,1.0,ok,
Cora,1.0,0.05,16,0,0.5603,0.3024,112,2038,539,131,2.7715,0.0676,1.0,ok,
Cora,1.0,0.05,16,1,0.5733,0.3024,112,2038,539,131,2.7717,0.0661,1.0,ok,
Cora,1.0,0.05,16,2,0.5677,0.3024,112,2038,539,131,2.7708,0.0661,1.0,ok,
Cora,1.0,0.05,64,0,0.5677,0.3024,448,2038,539,131,4.158,0.017,0.9688,ok,
Cora,1.0,0.05,64,1,0.5714,0.3024,448,2038,539,131,4.1578,0.0165,0.9754,ok,
Cora,1.0,0.05,64,2,0.5714,0.3024,448,2038,539,131,4.1577,0.0168,0.9643,ok,
Cora,1.0,0.05,128,0,0.5974,0.3024,896,2038,539,131,4.8509,0.0085,0.8438,ok,
Cora,1.0,0.05,128,1,0.5788,0.3024,896,2038,539,131,4.8512,0.0083,0.8415,ok,
Cora,1.0,0.05,128,2,0.5714,0.3024,896,2038,539,131,4.8507,0.0084,0.8393,ok,
Cora,1.0,0.2,4,0,0.7143,0.3024,28,1630,539,539,1.3859,0.2548,1.0,ok,
Cora,1.0,0.2,4,1,0.7069,0.3024,28,1630,539,539,1.3859,0.2546,1.0,ok,
Cora,1.0,0.2,4,2,0.6772,0.3024,28,1630,539,539,1.3853,0.2587,1.0,ok,
Cora,1.0,0.2,16,0,0.7013,0.3024,112,1630,539,539,2.7717,0.0649,1.0,ok,
Cora,1.0,0.2,16,1,0.6957,0.3024,112,1630,539,539,2.7715,0.0655,1.0,ok,
Cora,1.0,0.2,16,2,0.6735,0.3024,112,1630,539,539,2.7712,0.0662,1.0,ok,
Cora,1.0,0.2,64,0,0.718,0.3024,448,1630,539,539,4.1558,0.0171,0.9263,ok,
Cora,1.0,0.2,64,1,0.7143,0.3024,448,1630,539,539,4.1558,0.0171,0.9353,ok,
Cora,1.0,0.2,64,2,0.6865,0.3024,448,1630,539,539,4.1558,0.0173,0.9308,ok,
Cora,1.0,0.2,128,0,0.7106,0.3024,896,1630,539,539,4.8487,0.0086,0.7712,ok,
Cora,1.0,0.2,128,1,0.7106,0.3024,896,1630,539,539,4.849,0.0086,0.7824,ok,
Cora,1.0,0.2,128,2,0.6865,0.3024,896,1630,539,539,4.849,0.0087,0.7533,ok,
